Spectral Response Function Corners, trapezoid
Temperature: Celsius; Spectral Radiance: mW/[m^2 sr micrometer]; Wavelength: micrometer
lambda1:Response 1.0; lambda2:Response 1.0; lambda2:Response 0.0
lambda1: 8.00, lambda2:14.80, lambda3:19.80
TC,L
50.300,13388.960
50.400,13408.720
50.500,13428.490
50.600,13448.280
50.700,13468.090
50.800,13487.920
50.900,13507.770
51.000,13527.630
51.100,13547.510
51.200,13567.410
51.300,13587.330
51.400,13607.270
51.500,13627.220
51.600,13647.190
51.700,13667.180
51.800,13687.190
51.900,13707.210
52.000,13727.260
52.100,13747.320
52.200,13767.390
52.300,13787.490
52.400,13807.610
52.500,13827.740
52.600,13847.890
52.700,13868.060
52.800,13888.240
52.900,13908.450
53.000,13928.670
53.100,13948.910
53.200,13969.170
53.300,13989.440
53.400,14009.740
53.500,14030.050
53.600,14050.380
53.700,14070.730
53.800,14091.090
53.900,14111.480
54.000,14131.880
54.100,14152.300
54.200,14172.740
54.300,14193.190
54.400,14213.670
54.500,14234.160
54.600,14254.670
54.700,14275.190
54.800,14295.740
54.900,14316.300
55.000,14336.890
55.100,14357.480
55.200,14378.100
55.300,14398.740
55.400,14419.390
55.500,14440.060
55.600,14460.750
55.700,14481.460
55.800,14502.190
55.900,14522.930
56.000,14543.690
56.100,14564.470
56.200,14585.270
56.300,14606.080
56.400,14626.920
56.500,14647.770
56.600,14668.640
56.700,14689.530
56.800,14710.430
56.900,14731.360
57.000,14752.300
57.100,14773.260
57.200,14794.240
57.300,14815.230
57.400,14836.250
57.500,14857.280
57.600,14878.330
57.700,14899.400
57.800,14920.480
57.900,14941.590
58.000,14962.710
58.100,14983.850
58.200,15005.010
58.300,15026.190
58.400,15047.380
58.500,15068.600
58.600,15089.830
58.700,15111.080
58.800,15132.340
58.900,15153.630
59.000,15174.930
59.100,15196.250
59.200,15217.590
59.300,15238.950
59.400,15260.330
59.500,15281.720
59.600,15303.130
59.700,15324.560
59.800,15346.010
59.900,15367.480
60.000,15388.960
60.100,15410.460
60.200,15431.980
60.300,15453.520
60.400,15475.080
60.500,15496.650
60.600,15518.250
60.700,15539.860
60.800,15561.490
60.900,15583.140
61.000,15604.800
61.100,15626.490
61.200,15648.190
61.300,15669.910
61.400,15691.650
61.500,15713.400
61.600,15735.180
61.700,15756.970
61.800,15778.780
61.900,15800.610
62.000,15822.460
62.100,15844.320
62.200,15866.210
62.300,15888.110
62.400,15910.030
62.500,15931.970
62.600,15953.920
62.700,15975.900
62.800,15997.890
62.900,16019.900
63.000,16041.930
63.100,16063.980
63.200,16086.040
63.300,16108.120
63.400,16130.230
63.500,16152.350
63.600,16174.480
63.700,16196.640
63.800,16218.810
63.900,16241.010
64.000,16263.220
64.100,16285.450
64.200,16307.690
64.300,16329.960
64.400,16352.240
64.500,16374.540
64.600,16396.860
64.700,16419.200
64.800,16441.560
64.900,16463.930
65.000,16486.330
65.100,16508.740
65.200,16531.170
65.300,16553.620
65.400,16576.080
65.500,16598.570
65.600,16621.070
65.700,16643.590
65.800,16666.130
65.900,16688.680
66.000,16711.260
66.100,16733.850
66.200,16756.460
66.300,16779.090
66.400,16801.740
66.500,16824.410
66.600,16847.090
66.700,16869.800
66.800,16892.520
66.900,16915.260
67.000,16938.020
67.100,16960.790
67.200,16983.590
67.300,17006.400
67.400,17029.230
67.500,17052.080
67.600,17074.950
67.700,17097.830
67.800,17120.730
67.900,17143.660
68.000,17166.600
68.100,17189.560
68.200,17212.530
68.300,17235.530
68.400,17258.540
68.500,17281.570
68.600,17304.620
68.700,17327.690
68.800,17350.780
68.900,17373.880
69.000,17397.010
69.100,17420.150
69.200,17443.310
69.300,17466.490
69.400,17489.680
69.500,17512.900
69.600,17536.130
69.700,17559.380
69.800,17582.650
69.900,17605.940
70.000,17629.240
70.100,17652.570
70.200,17675.910
70.300,17699.270
70.400,17722.650
70.500,17746.050
70.600,17769.470
70.700,17792.900
70.800,17816.350
70.900,17839.820
71.000,17863.310
71.100,17886.820
71.200,17910.350
71.300,17933.890
71.400,17957.450
71.500,17981.030
71.600,18004.630
71.700,18028.250
71.800,18051.890
71.900,18075.540
72.000,18099.210
72.100,18122.900
72.200,18146.610
72.300,18170.340
72.400,18194.090
72.500,18217.850
72.600,18241.630
72.700,18265.440
72.800,18289.250
72.900,18313.090
73.000,18336.950
73.100,18360.820
73.200,18384.720
73.300,18408.630
73.400,18432.560
73.500,18456.500
73.600,18480.470
73.700,18504.450
73.800,18528.460
73.900,18552.480
74.000,18576.520
74.100,18600.570
74.200,18624.650
74.300,18648.750
74.400,18672.860
74.500,18696.990
74.600,18721.140
74.700,18745.310
74.800,18769.490
74.900,18793.700
75.000,18817.920
75.100,18842.160
75.200,18866.420
75.300,18890.700
75.400,18915.000
75.500,18939.310
75.600,18963.650
75.700,18988.000
75.800,19012.370
75.900,19036.760
76.000,19061.160
76.100,19085.590
76.200,19110.030
76.300,19134.500
76.400,19158.980
76.500,19183.480
76.600,19207.990
76.700,19232.530
76.800,19257.080
76.900,19281.650
77.000,19306.250
77.100,19330.850
77.200,19355.480
77.300,19380.130
77.400,19404.790
77.500,19429.480
77.600,19454.180
77.700,19478.900
77.800,19503.630
77.900,19528.390
78.000,19553.170
78.100,19577.960
78.200,19602.770
78.300,19627.600
78.400,19652.450
78.500,19677.320
78.600,19702.200
78.700,19727.100
78.800,19752.030
78.900,19776.970
79.000,19801.930
79.100,19826.900
79.200,19851.900
79.300,19876.910
79.400,19901.950
79.500,19927.000
79.600,19952.070
79.700,19977.150
79.800,20002.260
79.900,20027.390
80.000,20052.530
80.100,20077.690
80.200,20102.870
80.300,20128.070
80.400,20153.280
80.500,20178.520
80.600,20203.770
80.700,20229.050
80.800,20254.340
80.900,20279.650
81.000,20304.970
81.100,20330.320
81.200,20355.680
81.300,20381.070
81.400,20406.470
81.500,20431.890
